	ablated-7	average
Shuffled : 0	0.9300000000000007	1.0
Shuffled : 100	0.7880000000000006	0.6528117359413202
Shuffled : 500	0.5650000000000004	0.10757946210268948
Shuffled : 900	0.5210000000000004	0.0
