	ablated-8	average
Shuffled : 0	0.8720000000000007	1.0
Shuffled : 100	0.8030000000000006	0.7676767676767676
Shuffled : 500	0.5880000000000004	0.04377104377104377
Shuffled : 900	0.5750000000000004	0.0
