	ablated-9	average
Shuffled : 0	0.9630000000000007	1.0
Shuffled : 100	0.8750000000000007	0.782716049382716
Shuffled : 500	0.6060000000000004	0.11851851851851852
Shuffled : 900	0.5580000000000004	0.0
