	ablated-0	average
Shuffled : 0	0.6890000000000005	1.0
Shuffled : 100	0.6400000000000005	0.7183908045977011
Shuffled : 500	0.5810000000000004	0.3793103448275862
Shuffled : 900	0.5150000000000003	0.0
