	ablated-2	average
Shuffled : 0	0.8830000000000007	1.0
Shuffled : 100	0.8630000000000007	0.9390243902439024
Shuffled : 500	0.5900000000000004	0.10670731707317073
Shuffled : 900	0.5550000000000004	0.0
