	ablated-5	average
Shuffled : 0	0.6680000000000005	1.0
Shuffled : 100	0.6290000000000004	0.6722689075630253
Shuffled : 500	0.5780000000000004	0.24369747899159663
Shuffled : 900	0.5490000000000004	0.0
