	ablated-1	average
Shuffled : 0	1.0219999999999982	1.0
Shuffled : 100	0.9070000000000007	0.7573839662447298
Shuffled : 500	0.5840000000000004	0.075949367088608
Shuffled : 900	0.5480000000000004	0.0
