	ablated-6	average
Shuffled : 0	0.8520000000000006	1.0
Shuffled : 100	0.7880000000000006	0.7887788778877888
Shuffled : 500	0.5810000000000004	0.10561056105610561
Shuffled : 900	0.5490000000000004	0.0
