	ablated-4	average
Shuffled : 0	0.9680000000000007	1.0
Shuffled : 100	0.7950000000000006	0.6121076233183856
Shuffled : 500	0.6200000000000004	0.21973094170403587
Shuffled : 900	0.5220000000000004	0.0
