	average
Psmb4	0.8981262410729595
Ddx50	0.6905461573792944
Cd274	0.9753258566274823
Emc2	0.9753258566274823
Bpgm	0.9753258566274823
Wwp2	0.9753258566274823
Selk	0.9753258566274823
Scara3	0.9753258566274823
Lmna	0.9405405782327348
C030023E24Rik	0.9753258566274823
Ambra1	0.9753258566274823
Hbegf	0.9753258566274823
Fam5c	0.9647288286263451
Uggt1	0.8850457803711856
Uvrag	0.7192208798828177
X4930503E24Rik	0.9753258566274823
Bcl10	0.9753258566274823
Tubgcp3	0.9753258566274823
Slc35a5	0.8837037368795913
Zkscan3	0.9587229322041024
Lrrc73	0.6715934363360331
Arid4b	0.8455635550800792
Tubg1	0.9753258566274823
Ccdc117	0.9753258566274823
Mbd1	0.9753258566274823
Lca5l	0.9753258566274823
Spag7	0.9753258566274823
Spry2	0.9753258566274823
Dnm3	0.9753258566274823
Cd36	0.9753258566274823
Dync2h1	0.9753258566274823
Noa1	0.9753258566274823
Ltn1	0.9753258566274823
Med28	0.9753258566274823
Epb4.1l4a	0.9753258566274823
Snapc2	0.9753258566274823
Lin7b	0.9753258566274823
Bmyc	0.9753258566274823
Fam107b	0.8523331529832578
Lrrc7	0.9753258566274823
Cgrrf1	0.9753258566274823
St8sia5	0.9753258566274823
Otud7b	0.8565163048437637
Bcl2l12	0.9753258566274823
Dnajc28	0.9753258566274823
Wdr35	0.7463005004328828
Aggf1	0.9073119752061617
Osbpl9	0.9753258566274823
Tmtc4	0.9753258566274823
Tspan17	0.9753258566274823
Riok3	0.8571937373786478
Atp11c	0.9753258566274823
Ccdc30	0.9753258566274823
Cep97	0.9753258566274823
Asic1	0.9753258566274823
Zfp354c	0.8328865269171386
X2410006H16Rik	0.9753258566274823
Tmem97	0.9753258566274823
Efnb3	0.9753258566274823
Aspn	0.9753258566274823
Itga3	0.9753258566274823
Prps1l3	0.9753258566274823
Scrg1	0.9742659319595699
Lyrm2	0.9753258566274823
Smg5	0.9753258566274823
Slc35b1	0.9753258566274823
Iqcb1	0.9753258566274823
Etv6	0.9753258566274823
Dynlt3	0.9753258566274823
Actn4	0.9753258566274823
Mtrf1	0.9753258566274823
Klhl12	0.8981262410729595
Golga4	0.9753258566274823
Mlh3	0.9753258566274823
Prkaa2	0.9299970220589273
Ifit3	0.6571592116610029
Npy1r	0.9048589316315521
Rpe	0.8206750574705358
Dcdc2a	0.9753258566274823
Zfp330	0.9753258566274823
Pnpla2	0.9753258566274823
Gpx4	0.9753258566274823
Gtf3c2	0.9753258566274823
Myof	0.9753258566274823
Rps18	0.9753258566274823
B4galt4	0.9753258566274823
Cox10	0.9753258566274823
Det1	0.9753258566274823
Ndst2	0.8174671790390801
Tnks1bp1	0.8819891367317042
Epha1	0.9753258566274823
AI413582	0.9238426580776945
Ubac2	0.9753258566274823
Ptpn6	0.9168950086875851
Naa30	0.9753258566274823
Col4a1	0.9753258566274823
Rpa1	0.9753258566274823
Bcr	0.9753258566274823
Zfp598	0.9753258566274823
Siae	0.9073119752061617
Capns1	0.9753258566274823
Smad7	0.9753258566274823
X2900052N01Rik	0.9753258566274823
Fbxo34	0.9753258566274823
Slc7a5	0.9753258566274823
X2810029C07Rik	0.9753258566274823
Ehd1	0.9156933553546908
Rnf20	0.9753258566274823
Crlf3	0.9753258566274823
Ddx31	0.9753258566274823
Zc3h10	0.9753258566274823
Reep3	0.9753258566274823
Snrnp48	0.9753258566274823
Yes1	0.9753258566274823
Fbxo41	0.9753258566274823
Notch3	0.9753258566274823
Hmcn1	0.6356583795703176
Hdac1	0.9753258566274823
Kars	0.9753258566274823
Zfp503	0.9753258566274823
Pacsin3	0.9753258566274823
Drg1	0.9753258566274823
Arfip1	0.9753258566274823
E130309F12Rik	0.9753258566274823
Parl	0.9753258566274823
Igtp	0.9753258566274823
Sdhaf2	0.9753258566274823
Ebf4	0.9753258566274823
Nefm	0.9625345284875019
X6330549D23Rik	0.9753258566274823
Kank1	0.9753258566274823
Rnf139	0.7848490536741443
Cxxc1	0.9753258566274823
Ifnar2	0.9753258566274823
Apopt1	0.9753258566274823
Ercc8	0.9753258566274823
Clk3	0.9753258566274823
Pigk	0.9753258566274823
Bscl2	0.9054999706600936
Phlpp1	0.8430102975042159
X4930579G24Rik	0.9753258566274823
Zic1	0.9753258566274823
Pbxip1	0.9753258566274823
Plekhn1	0.9753258566274823
Surf1	0.9753258566274823
Rfxap	0.9753258566274823
Nell2	0.9753258566274823
G2e3	0.9753258566274823
Tpra1	0.9753258566274823
Mrps22	0.9753258566274823
Tor1aip1	0.9753258566274823
Snhg3	0.9753258566274823
Fat1	0.9753258566274823
Uba5	0.9753258566274823
Tex9	0.9753258566274823
C1qc	0.9753258566274823
Rad51d	0.9753258566274823
Slain2	0.9753258566274823
Numa1	0.9753258566274823
Phtf2	0.9523250351287357
Ube2f	0.9156768110096937
X9230110C19Rik	0.9753258566274823
Unc119	0.9753258566274823
Rpl7l1	0.8572673049101882
Spred3	0.9753258566274823
Lurap1l	0.9753258566274823
Tm7sf3	0.9753258566274823
Rgs8	0.9753258566274823
Tmppe	0.9753258566274823
Tmem135	0.9753258566274823
Plvap	0.9753258566274823
Fgf14	0.9753258566274823
Abcc9	0.9753258566274823
Zcchc9	0.9753258566274823
Mrp63	0.9438224772442618
X4922501C03Rik	0.9753258566274823
Hist1h2ai	0.9753258566274823
Gnb4	0.9753258566274823
Trappc1	0.9228690761499768
Slc35a2	0.9753258566274823
Cbr2	0.9753258566274823
Casp8ap2	0.9753258566274823
D10Jhu81e	0.9051022024486575
Ppid	0.8574204256306532
Topors	0.9753258566274823
Hist1h2an	0.9753258566274823
Arhgap42	0.9753258566274823
Ergic3	0.816626131446605
Fzd9	0.9753258566274823
Sec11a	0.9753258566274823
Prkrir	0.9753258566274823
X2810468N07Rik	0.706578838884618
Prpf3	0.9753258566274823
Rpia	0.9753258566274823
Noc3l	0.9753258566274823
Tceb1	0.9753258566274823
X9030612E09Rik	0.9753258566274823
Smarca1	0.9753258566274823
Ide	0.9753258566274823
Accs	0.9753258566274823
Gar1	0.928835343702955
Fam229b	0.9753258566274823
Nup155	0.9753258566274823
Bet1	0.9753258566274823
Msrb2	0.9753258566274823
Arl13b	0.9753258566274823
Adcy6	0.9753258566274823
Gpd1	0.9753258566274823
Ocel1	0.9753258566274823
Rpp14	0.9753258566274823
Med30	0.9753258566274823
Acbd3	0.9422269776316465
Ptbp1	0.9753258566274823
Ubtd2	0.9753258566274823
Leng8	0.9753258566274823
Mpv17l2	0.9753258566274823
Mcts2	0.8603873922302417
Nckap1l	0.9753258566274823
Slc24a3	0.9753258566274823
X1110008J03Rik	0.9753258566274823
Tjp2	0.9753258566274823
Ttl	0.9597207723688841
Alg14	0.9753258566274823
Slc25a31	0.9753258566274823
Nucb1	0.9753258566274823
Papss1	0.805434016505154
Rangrf	0.9753258566274823
Cd3eap	0.9753258566274823
Zfp692	0.8885721099805983
Nradd	0.9753258566274823
C030034I22Rik	0.7404701052598698
Ccdc124	0.9753258566274823
Heph	0.9753258566274823
Mtmr14	0.9753258566274823
Cd209g	0.9753258566274823
Spcs2	0.9753258566274823
Reps2	0.9753258566274823
Nanos3	0.9753258566274823
Phf12	0.8739286861752583
Adora2b	0.9753258566274823
Pik3c2b	0.7538220174821941
Glrx	0.9753258566274823
Soga2	0.9753258566274823
Mgll	0.9753258566274823
Azi2	0.9753258566274823
Tmem256	0.9753258566274823
E430025E21Rik	0.9753258566274823
Casc4	0.9753258566274823
Ptpn12	0.8775800444554752
Gins4	0.9753258566274823
Trove2	0.9753258566274823
Txndc17	0.9753258566274823
Rgs10	0.9753258566274823
Mras	0.9753258566274823
Pgm2	0.7335337777976189
Il17ra	0.9753258566274823
Dusp28	0.9753258566274823
X9430016H08Rik	0.9753258566274823
Dennd6a	0.9625345284875019
Dnajc3	0.9753258566274823
Mtdh	0.9753258566274823
Nipa1	0.9753258566274823
Mgme1	0.9753258566274823
Snx6	0.9753258566274823
X1700123O20Rik	0.9753258566274823
Ppp2r3c	0.9753258566274823
Clcn2	0.9753258566274823
Smyd4	0.9753258566274823
Ttf1	0.9753258566274823
Kdm5a	0.9753258566274823
Myh10	0.7088215394199047
Cyp4f15	0.9753258566274823
Zdhhc20	0.9051022024486575
Bcat1	0.8317012151457249
Fam69a	0.9753258566274823
Metrn	0.9753258566274823
Eif2b1	0.8224437139525888
Galnt7	0.8510124208615346
Sp1	0.9753258566274823
Rgs20	0.9753258566274823
Pop5	0.9753258566274823
Tmem121	0.9753258566274823
Ss18	0.9753258566274823
Trappc8	0.9753258566274823
Rnf152	0.6858743457286582
Ung	0.9753258566274823
Ift57	0.9753258566274823
Hist1h1c	0.9753258566274823
Psme1	0.9753258566274823
Crem	0.9753258566274823
X4933431E20Rik	0.9753258566274823
Fat4	0.9753258566274823
Dtx1	0.9753258566274823
Cdk5rap3	0.828535022473254
Topbp1	0.9753258566274823
Alkbh3	0.9753258566274823
Snhg7	0.9692631726700448
Ednrb	0.9753258566274823
Rab43	0.9753258566274823
Ttc32	0.9753258566274823
Dusp12	0.9753258566274823
Rcbtb2	0.9753258566274823
BC037034	0.8612962928306269
Lap3	0.9753258566274823
Smim18	0.9753258566274823
Kxd1	0.9753258566274823
Ano1	0.9753258566274823
Fli1	0.9753258566274823
Ccl11	0.9753258566274823
Dlg5	0.9753258566274823
Ppm1f	0.9753258566274823
Lifr	0.890369310342957
Gpaa1	0.9753258566274823
Mrps31	0.9753258566274823
Ppp2r5c	0.9753258566274823
B930003M22Rik	0.9753258566274823
Limk2	0.872182138165376
Atg16l2	0.9753258566274823
Ago1	0.9168205844469784
Cspp1	0.9753258566274823
Fbxl3	0.9753258566274823
Arl6ip5	0.9753258566274823
Rfc1	0.9753258566274823
Sema4g	0.9753258566274823
Ppil6	0.9753258566274823
X2010003O02Rik	0.9753258566274823
Pde3b	0.9753258566274823
Tmem136	0.9753258566274823
Zfp160	0.9753258566274823
Lsm14a	0.9753258566274823
Rspo1	0.9753258566274823
Nfib	0.9753258566274823
Ddx52	0.9753258566274823
Tnnt1	0.9753258566274823
Rab8a	0.9753258566274823
Maml3	0.8622780890631141
Aldh1l1	0.9753258566274823
Aifm3	0.9753258566274823
Trank1	0.9753258566274823
H2afj	0.8012231669803569
Uckl1	0.9753258566274823
Atp11a	0.9753258566274823
X0610010F05Rik	0.9753258566274823
Matn2	0.9753258566274823
Rab31	0.9753258566274823
Nap1l4	0.9753258566274823
Pex3	0.9753258566274823
X2610034M16Rik	0.9753258566274823
Ppapdc2	0.9334555088494212
Tnip2	0.9753258566274823
C1qb	0.9753258566274823
Ranbp10	0.9191938234594516
Ccdc38	0.9753258566274823
Marc2	0.9753258566274823
Efnb1	0.9753258566274823
Mis18a	0.8273296075800093
Oaz2	0.9753258566274823
Dbnl	0.9753258566274823
Ptgr2	0.9753258566274823
Vps28	0.9753258566274823
Pced1a	0.9753258566274823
X4933434E20Rik	0.9753258566274823
X0610038B21Rik	0.9753258566274823
Gatm	0.767148295840339
Sirt2	0.9753258566274823
Lims1	0.9753258566274823
Mfap3	0.9753258566274823
Tnip1	0.919726957293572
Helq	0.9753258566274823
Naglu	0.9753258566274823
Zfp758	0.9753258566274823
Ccnk	0.9753258566274823
Fam174a	0.8113631884004382
Mmaa	0.9753258566274823
Dnajc2	0.9753258566274823
Spcs3	0.9753258566274823
Rnaset2b	0.9753258566274823
Hmbs	0.9753258566274823
Pdlim5	0.9753258566274823
Tmprss11d	0.9753258566274823
Samd8	0.9753258566274823
Rnft1	0.9753258566274823
Ccdc91	0.9753258566274823
Prune	0.9753258566274823
Ostm1	0.9753258566274823
Cenpl	0.9753258566274823
