	average
Slu7	0.9752309399777354
Tbp	0.9752309399777354
March5	0.9752309399777354
Pld1	0.9752309399777354
Zfp91	0.9752309399777354
Plcl1	0.9752309399777354
Mat2b	0.9752309399777354
Tgfbr2	0.9752309399777354
Rps4x	0.9752309399777354
Anapc4	0.9752309399777354
Psmb10	0.9752309399777354
Fancc	0.9752309399777354
Acbd5	0.9752309399777354
Syt4	0.9752309399777354
Mypop	0.9752309399777354
Steap2	0.9752309399777354
Lamtor1	0.9752309399777354
Atg9a	0.9752309399777354
Rpl10a	0.9752309399777354
Cand2	0.9752309399777354
Tmx3	0.9752309399777354
Cul1	0.9752309399777354
Tiam2	0.9752309399777354
Frmd3	0.9752309399777354
Clk4	0.9752309399777354
Dopey2	0.9752309399777354
Adnp	0.9752309399777354
Rwdd4a	0.9752309399777354
Scrib	0.9752309399777354
Pcdhb7	0.9752309399777354
Xrcc6bp1	0.9752309399777354
Ccdc85a	0.9752309399777354
Dhps	0.9752309399777354
Cd24a	0.9752309399777354
Wdr1	0.9752309399777354
Copa	0.9752309399777354
Myt1l	0.9752309399777354
BC002163	0.9752309399777354
Acsl4	0.9752309399777354
Man2b1	0.9752309399777354
Pex13	0.9752309399777354
Prune2	0.9752309399777354
Lmnb2	0.9752309399777354
Gemin5	0.9752309399777354
Slc39a1	0.9752309399777354
Birc2	0.9752309399777354
Srebf2	0.9752309399777354
BC030336	0.9752309399777354
Ubr4	0.9752309399777354
D8Ertd738e	0.9752309399777354
Ptprs	0.9752309399777354
Psmd7	0.9752309399777354
Yipf4	0.9752309399777354
Nup88	0.9752309399777354
Lrrc8a	0.9752309399777354
Ercc6	0.9752309399777354
Cpne6	0.9752309399777354
Rin2	0.9752309399777354
Lims2	0.9752309399777354
Siah1a	0.9752309399777354
Scarf2	0.9752309399777354
Maea	0.9752309399777354
Camk2g	0.9752309399777354
Gaa	0.9752309399777354
Wdr36	0.9752309399777354
Gm7444	0.9752309399777354
Rock1	0.9752309399777354
Ctsz	0.9752309399777354
Srp54b	0.9752309399777354
Clasp2	0.9752309399777354
Rpp30	0.9752309399777354
Gpatch4	0.9752309399777354
Kcnip2	0.9752309399777354
Fmr1	0.9752309399777354
Gna11	0.9752309399777354
Sox12	0.9752309399777354
Insm1	0.9752309399777354
Neurl4	0.9752309399777354
Hist1h4d	0.9752309399777354
Rps12	0.9752309399777354
Papola	0.9752309399777354
Tagln3	0.9752309399777354
Setd1b	0.9752309399777354
Cldn12	0.9752309399777354
Zc4h2	0.9752309399777354
Sdhaf1	0.9752309399777354
Myef2	0.9752309399777354
Cpsf3	0.9752309399777354
Yme1l1	0.9752309399777354
Gpr17	0.9752309399777354
Zfp740	0.9752309399777354
Arl2bp	0.9752309399777354
Rxrb	0.9752309399777354
Pop7	0.9752309399777354
Cnot7	0.9752309399777354
Xpr1	0.9752309399777354
Kcnd3	0.9752309399777354
Rcc2	0.9752309399777354
Ddx50	0.9752309399777354
Rnf138	0.9752309399777354
Igsf11	0.9752309399777354
Emd	0.9752309399777354
Stx12	0.9752309399777354
Cd274	0.9752309399777354
Emc2	0.9752309399777354
Phyhd1	0.9752309399777354
Tmed7	0.9752309399777354
Rbbp6	0.9752309399777354
Bpgm	0.9752309399777354
Lrpap1	0.9752309399777354
Banp	0.9752309399777354
Phactr1	0.9752309399777354
Wwp2	0.9752309399777354
Rps2	0.9752309399777354
Scara3	0.9752309399777354
Ptov1	0.9752309399777354
Api5	0.9752309399777354
A230065H16Rik	0.9752309399777354
Rpl31	0.9752309399777354
Sucla2	0.9752309399777354
